model,family,quant,threads,energy_total_j,n_inferenze
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,1,957.0202483333333,25.0
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,2,870.9990453333334,25.0
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,4,998.9525846666666,25.0
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,1,-331.4748233333333,25.0
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,2,-536.753969,25.0
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,4,-574.6342766666667,25.0
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,1,1250.981947,25.0
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,2,1225.2639580000002,25.0
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,4,1515.2244633333332,25.0
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,1,-846.4960483333334,25.0
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,2,-790.129846,25.0
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,1,615.104697,25.0
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,2,495.1599213333334,25.0
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,4,735.6737503333334,25.0
