model,family,quant,threads,latency_s,energy_net_j,avg_power_w,prompt_tps,gen_tps,score,n_energy,n_lat,n_score,composite
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,1,16.567028,-33.859841933333335,0.0,10.758666666666667,5.532,0.8133333333333334,0.0,0.8859530512730277,0.7857142857142856,0.7370951040311088
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,4,5.681965333333333,29.426950013333336,7.579461333333334,54.053333333333335,15.558666666666667,0.8533333333333334,0.6699225377646948,0.07731500929550761,1.0,0.7165679830350207
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,2,15.463876,-31.605193840000002,0.0,17.34,5.524,0.8,0.023866584574631033,0.8040012333918763,0.7142857142857144,0.7153674052060581
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,2,4.641229333333333,19.806396853333332,6.002641333333333,31.50133333333333,18.545333333333335,0.8133333333333334,0.5680841416412392,0.0,0.7857142857142856,0.6870520576292186
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,1,8.822606666666667,24.604187879999998,4.628821333333334,16.00133333333333,12.604,0.8266666666666667,0.6188711738383816,0.31062942705421115,0.8571428571428568,0.6331827879109478
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,2,10.504978666666668,-21.47015876,0.0,23.97866666666667,5.5,0.72,0.13115103070123585,0.43561079295152016,0.2857142857142856,0.5747031434149159
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,1,11.730173333333333,-13.258992933333332,1.0073733333333332,15.002666666666668,5.492,0.7066666666666667,0.2180703527177945,0.5266290118294485,0.21428571428571397,0.4931603422612781
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,4,11.246341333333334,-22.985371066666666,0.0,24.0,4.848,0.68,0.1151117460019915,0.4906857221023092,0.07142857142857162,0.4843895857501702
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,4,12.083222666666668,60.608978533333335,7.415622666666667,25.141333333333332,7.1866666666666665,0.7733333333333333,1.0,0.5528566166095652,0.5714285714285712,0.31800010524951544
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,2,8.112789333333334,34.83996181333333,6.1810160000000005,20.718666666666667,7.902666666666668,0.6933333333333334,0.727221991417871,0.2578979622785341,0.1428571428571428,0.3146744681200019
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,1,14.011935999999999,38.28080993333334,4.663036,10.470666666666666,5.2586666666666675,0.7333333333333333,0.7636451001536693,0.6961383799914757,0.35714285714285676,0.29817142679737985
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,2,11.263664,49.01055832,6.246529333333333,14.844,8.397333333333334,0.7333333333333333,0.8772248858825772,0.49197260190117875,0.35714285714285676,0.29357266812387606
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,4,7.920756,39.95810338666667,7.444226666666666,34.446666666666665,6.749333333333333,0.6666666666666666,0.7814000953472968,0.24363203993923377,0.0,0.23871355387323454
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,1,18.102211999999998,50.03927788,4.684398666666667,7.526666666666666,5.74,0.7333333333333333,0.8881144000621575,1.0,0.35714285714285676,0.18761138283227974
