model,family,quant,threads,energy_total_j,n_inferenze
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,1,571.0188226666667,15.0
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,2,528.4719183333333,15.0
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,4,581.820232,15.0
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,1,584.618064,15.0
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,2,650.5308976666666,15.0
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,4,904.0524103333333,15.0
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,1,838.8946816666667,15.0
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,2,734.6296976666666,15.0
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,4,897.6757033333333,15.0
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,1,861.3770466666666,15.0
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,2,831.5046743333332,15.0
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,4,1176.1338403333332,15.0
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,1,322.4392793333334,15.0
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,2,367.39704133333333,15.0
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,4,378.54660999999993,15.0
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,1,280.29090066666663,15.0
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,2,429.9667316666667,15.0
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,4,476.50116600000007,15.0
