model,family,quant,threads,latency_s,energy_net_j,avg_power_w,prompt_tps,gen_tps,score,n_energy,n_lat,n_score,composite
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,2,5.796971111111111,24.49313608888889,6.009266666666666,31.342222222222226,17.977777777777778,0.8888888888888888,0.097233719003331,0.042608426896327434,1.0,0.9525848270194022
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,4,5.151477777777777,25.236440666666667,7.333184444444444,52.94222222222223,14.193333333333335,0.8666666666666667,0.10967961568117424,0.0,0.916666666666667,0.9227948203941971
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,1,6.044857777777778,18.686060044444446,5.074273333333333,22.9,12.564444444444444,0.8444444444444444,0.0,0.05897119994109057,0.8333333333333335,0.9215390933451153
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,1,7.907375555555556,21.495951955555558,4.621406666666667,15.966666666666667,12.555555555555555,0.8222222222222222,0.04704884840901874,0.18191430171991824,0.75,0.8447976002924089
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,2,7.019208888888889,28.664448777777775,6.322080000000001,41.11555555555556,12.155555555555555,0.7777777777777778,0.16707820575746535,0.12328722916287421,0.5833333333333335,0.7418446051977725
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,4,6.759128888888889,31.7667444,7.002508888888889,38.388888888888886,10.746666666666668,0.7777777777777778,0.2190230638043998,0.10611958529276433,0.5833333333333335,0.7245001907530206
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,2,11.421306666666666,48.975313177777785,6.238657777777778,14.877777777777778,8.224444444444446,0.7777777777777778,0.5071634511838143,0.41386569321351757,0.5833333333333335,0.5476948142171041
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,2,8.151506666666666,35.23146122222222,6.2386888888888885,20.77111111111111,8.168888888888889,0.6666666666666666,0.2770363047779471,0.19802917396372705,0.16666666666666652,0.5162463099627425
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,2,13.40143111111111,55.43364495555556,6.328464444444444,17.18,5.411111111111111,0.8,0.615301800415782,0.5445719039206907,0.666666666666667,0.5116315657162158
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,4,7.397302222222223,38.78801546666667,7.64523111111111,35.96222222222222,7.5,0.6666666666666666,0.3365872721456388,0.1482448256575276,0.16666666666666652,0.5023827926769056
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,4,12.226980000000001,59.84504688888889,7.389051111111111,24.853333333333335,6.931111111111112,0.7777777777777778,0.6891663430381991,0.46704745598770664,0.5833333333333335,0.4642573049205124
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,1,12.55177777777778,38.9745376,5.122455555555556,14.908888888888889,5.444444444444445,0.6666666666666666,0.3397103999575753,0.48848706141177617,0.16666666666666652,0.4330850944012813
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,2,10.691064444444445,43.36872651111111,6.238502222222222,23.177777777777777,5.3244444444444445,0.6444444444444445,0.4132867276241105,0.36566306936689813,0.08333333333333348,0.39488602841030956
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,1,14.025344444444444,38.06792151111111,4.694475555555555,10.455555555555556,5.2555555555555555,0.6222222222222222,0.32453001427703015,0.5857558546761499,0.0,0.353036823353958
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,1,20.300906666666666,55.92631211111111,4.717115555555555,7.528888888888889,5.626666666666666,0.7333333333333333,0.6235510224681242,1.0000000000000002,0.4166666666666665,0.3172462576794169
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,4,13.366011111111112,60.27016068888889,6.78992,22.122222222222224,4.455555555555556,0.6888888888888889,0.6962844512663813,0.5422338619879035,0.25,0.31303944709586684
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,1,18.199548888888888,57.42513644444444,5.167931111111112,10.777777777777779,5.431111111111111,0.6888888888888889,0.6486473468398555,0.8612912874016667,0.25,0.2682828037837245
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,4,16.715402222222224,78.40892268888888,6.978597777777778,17.26,4.895555555555555,0.7333333333333333,1.0,0.7633241179755514,0.4166666666666665,0.21400184307155634
