model,family,quant,threads,energy_total_j,n_inferenze
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,1,6313.350095,150.0
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,2,6392.970733000001,150.0
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,4,7222.377616000001,150.0
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,1,6175.361763999999,150.0
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,2,7861.384983,150.0
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,4,10633.887279000002,150.0
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,1,8208.185493,150.0
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,2,7826.835408000001,150.0
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,4,9718.38099,150.0
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,1,8389.936587,150.0
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,2,10085.569431,150.0
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,4,14115.071111,150.0
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,1,3905.5065479999994,150.0
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,2,4080.7322050000002,150.0
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,4,4514.039853,150.0
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,1,3562.8387830000006,150.0
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,2,4088.4814420000002,150.0
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,4,5580.222016,150.0
