model,family,quant,threads,latency_s,energy_net_j,avg_power_w,prompt_tps,gen_tps,score,n_energy,n_lat,n_score,composite
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,1,9.622641999999999,26.036710319999997,4.627569333333334,16.081333333333333,12.102,0.7466666666666667,0.03247348564253483,0.23641661360343175,1.0,0.9397272830222997
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,2,6.378300666666666,27.204881366666665,6.071815999999999,31.825999999999997,18.065333333333335,0.72,0.049079039003508906,0.03197019110032395,0.7499999999999991,0.8739743461785312
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,4,5.870968666666667,30.093599020000003,7.574176666666667,55.98266666666667,15.957333333333333,0.7066666666666667,0.09014216522470037,0.0,0.625,0.81394313391012
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,2,6.761988,27.25654294666667,6.300357333333333,41.61333333333334,11.669333333333332,0.68,0.049813408448677265,0.056148751430522725,0.375,0.7188448863344247
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,4,8.120855333333333,37.201480106666665,6.9280859999999995,37.374,10.024,0.6866666666666666,0.19118070663085573,0.14177955793721725,0.4374999999999991,0.670171805760214
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,1,7.637724666666666,23.752258553333334,5.094187333333333,23.16,11.814666666666668,0.64,0.0,0.11133444558522632,0.0,0.5777331108829548
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,2,9.934332666666666,42.619804886666664,6.202292666666667,20.884666666666664,8.008666666666667,0.6733333333333333,0.26820220234256387,0.256058209594855,0.3125,0.5665074771440035
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,1,13.615860666666668,41.169078426666665,5.050548666666667,15.074666666666666,5.357333333333333,0.6733333333333333,0.24758012331360035,0.48805452305663893,0.3125,0.5283570460632321
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,2,12.199029333333334,52.178902719999996,6.209621333333334,14.94,8.494,0.68,0.404084793857848,0.39877103909821804,0.375,0.5086118746372172
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,2,13.331761333333334,52.40923322,6.14654,23.009333333333334,5.074,0.6733333333333333,0.4073589422964039,0.47015163110789265,0.3125,0.46802609685985996
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,4,10.238254,48.14918410666667,7.174482666666666,33.674,5.944,0.6533333333333333,0.3468023371025991,0.2752102108605586,0.125,0.4562370229868487
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,1,15.699120666666667,42.089000633333335,4.649866666666667,10.514,5.193333333333333,0.6466666666666666,0.26065681900327475,0.619333883143645,0.06249999999999911,0.39687049576996075
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,4,13.904663333333334,64.7892066,7.271442,24.269333333333336,6.2026666666666666,0.6733333333333333,0.5833402843743757,0.5062538017215299,0.3125,0.3904131259059438
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,1,20.569462,54.721236620000006,4.620108,7.528666666666666,5.691333333333334,0.6733333333333333,0.44022407445235323,0.9262448273586237,0.3125,0.363661404747334
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,2,16.52077733333333,67.23712954,6.2930019999999995,16.954666666666665,5.42,0.6733333333333333,0.6181375130162885,0.671111655198608,0.3125,0.343522663753763
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,1,18.163768,55.93291058,5.085181333333333,10.744,5.458666666666667,0.6533333333333333,0.4574480217983312,0.7746468660455132,0.125,0.3120914180715649
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,4,16.639647333333333,70.89258186,6.497758666666667,20.202,3.9080000000000004,0.6666666666666666,0.6700997737926229,0.6786024040890692,0.2499999999999991,0.2962396096651366
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,4,21.739876000000002,94.10047407333333,6.564323333333333,14.203999999999999,4.114,0.6933333333333334,1.0,0.9999999999999998,0.5,0.20000000000000007
